player,season,league,team,nation,pos,age,born,Playing Time MP,Playing Time Starts,Minutes de jeu,Playing Time 90s,G,A,Performance G+A,G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,xG,Expected npxG,xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocs_totaux,Blocks Sh,Blocks Pass,Interceptions,Tkl+Int,Degagements,Err,Standard Gls,Tirs,Tirs_Cadres,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Aerial Duels Won,Aerial Duels Lost,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Valeur marchande (euros),90s_calcul,G_per90,G-PK_per90,A_per90,Tirs_per90,Tirs_Cadres_per90,xG_per90,xAG_per90,Interceptions_per90,Blocs_totaux_per90,uefa_coeff,Aerial_Wins_Pct,Dribble_Succ_Pct,Finishing_ratio,OSI_raw,PMI_raw,DSI_raw,Off Index,Playmaking Index,Def Index
Julian Brandt,2022,GER-Bundesliga,Dortmund,GER,"MF,FW",26.0,1996.0,32,29,2397,26.6,9,8,17,9,0,0,2,0,5.2,5.2,9.2,14.3,67,119,218,0.34,0.3,0.64,0.34,0.64,0.19,0.34,0.54,0.19,0.54,26.6,29,20,6,14,9,12,43,31,23,0,23,15,44,9.0,1,9,42,26,1.58,0.98,1,0,0,1053,1368,77.0,16552,4185,583,662,88.1,284,368,77.2,120,204,8,7.8,-1.2,73,60,40,9,119,9,24,1634,14,172,668,814,80,1634,81,41,35,989,5335,2355,67,42,27,50,35,1186,218,40000000.0,26.633333333333333,0.3379097155300802,0.3379097155300802,0.3003641915822935,1.576912005807041,0.976183622642454,0.1952367245284908,0.3454188203196375,0.5631828592168003,0.8635470507990939,8.909,26.47058823529412,50.0,20.930232558139537,88.799,271.8501764705882,228.2795882352941,26.04747275136284,77.7278216409066,19.25200135080569
Julian Brandt,2023,GER-Bundesliga,Dortmund,GER,"MF,FW",27.0,1996.0,32,26,2223,24.7,7,11,18,7,0,0,2,0,4.4,4.4,9.5,13.8,74,116,158,0.28,0.45,0.73,0.28,0.73,0.18,0.38,0.56,0.18,0.56,24.7,17,14,8,8,1,10,27,17,20,3,17,8,25,18.0,0,7,33,16,1.34,0.65,2,0,0,1054,1319,79.9,17725,4294,519,584,88.9,360,424,84.9,128,220,11,7.5,1.5,80,63,32,8,116,9,28,1547,28,196,682,679,57,1547,67,27,38,883,5427,2220,74,58,17,44,42,1109,158,40000000.0,24.7,0.2833893364641107,0.2833893364641107,0.4453261001578883,1.335978300473665,0.6477470547751103,0.1781304400631553,0.3845998137727217,0.3238735273875551,0.8096838184688879,8.909,23.684210526315788,39.705882352941174,20.588235294117645,63.939,277.09661609907124,158.39321052631578,18.033262518576784,79.2733742311963,13.144069840515199
Julian Draxler,2020,FRA-Ligue 1,Paris S-G,GER,"MF,FW",26.0,1993.0,24,12,1064,11.8,4,3,7,4,0,0,3,0,1.6,1.6,3.1,4.8,49,70,94,0.34,0.25,0.59,0.34,0.59,0.14,0.26,0.4,0.14,0.4,11.8,13,6,5,6,2,5,20,15,4,0,4,14,27,0.0,0,4,11,4,0.93,0.34,0,0,0,549,639,85.9,8326,1754,300,337,89.0,193,216,89.4,37,51,3,2.4,-0.1,30,39,17,1,70,4,3,710,2,55,366,299,37,710,25,15,10,470,2914,1550,49,37,12,7,13,582,94,20000000.0,11.822222222222225,0.3383172476012367,0.3383172476012367,0.2537379357009275,0.930372430903401,0.3383172476012367,0.1353268990404947,0.2621958668909585,1.184110366604329,0.3383172476012367,8.498,50.0,57.692307692307686,33.33333333333333,28.017999999999994,305.77492307692313,146.498,6.453276767494412,87.72173822153124,12.10445191242949
Julian Draxler,2021,FRA-Ligue 1,Paris S-G,GER,"MF,FW",26.0,1993.0,24,12,1064,11.8,4,3,7,4,0,0,3,0,1.6,1.6,3.1,4.8,49,70,94,0.34,0.25,0.59,0.34,0.59,0.14,0.26,0.4,0.14,0.4,11.8,13,6,5,6,2,5,20,15,4,0,4,14,27,0.0,0,4,11,4,0.93,0.34,0,0,0,549,639,85.9,8326,1754,300,337,89.0,193,216,89.4,37,51,3,2.4,-0.1,30,39,17,1,70,4,3,710,2,55,366,299,37,710,25,15,10,470,2914,1550,49,37,12,7,13,582,94,18000000.0,11.822222222222225,0.3383172476012367,0.3383172476012367,0.2537379357009275,0.930372430903401,0.3383172476012367,0.1353268990404947,0.2621958668909585,1.184110366604329,0.3383172476012367,8.498,50.0,57.692307692307686,33.33333333333333,28.017999999999994,305.77492307692313,146.498,6.453276767494412,87.72173822153124,12.10445191242949
Julian Eitschberger,2022,GER-Bundesliga,Hertha BSC,GER,FW,18.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1,100.0,10,4,1,1,100.0,0,0,81.3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.0,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.909,0.0,0.0,0.0,8.909,308.909,8.909,0.2930376951569801,88.6450082960273,0.07944480633943028
Julian Jeanvier,2022,FRA-Ligue 1,Auxerre,GUI,DF,30.0,1992.0,22,20,1760,19.6,1,0,1,1,0,0,5,1,1.2,1.2,0.0,1.2,4,27,6,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.06,0.06,0.06,19.6,32,17,24,8,0,13,22,9,24,17,7,27,59,96.0,1,1,8,4,0.41,0.2,0,0,0,653,792,82.4,12993,4484,220,260,84.6,328,364,90.1,90,143,0,0.1,0.0,1,22,0,0,27,24,26,1002,168,558,423,23,12,1002,3,2,1,674,3508,1755,4,4,0,8,2,607,6,800000.0,19.55555555555556,0.0511337488423887,0.0511337488423887,0.0,0.4090699907391099,0.2045349953695549,0.0613604986108664,0.0,1.380611218744496,1.2272099722173295,8.498,47.05882352941176,50.0,11.11111111111111,20.787999999999997,289.8156470588236,295.1568235294117,4.122514901724376,83.02028311376436,25.096939751749236
Julian Justvan,2023,GER-Bundesliga,Darmstadt 98,GER,"MF,FW",25.0,1998.0,36,22,2144,23.8,4,4,8,4,0,0,2,0,1.8,1.8,5.0,6.8,56,122,124,0.36,0.36,0.7,0.36,0.7,0.3,0.44,0.74,0.3,0.74,23.8,22,8,6,14,2,8,38,30,26,4,22,22,44,3.0,2,4,36,8,6.68,0.7,0,0,0,658,926,67.85,11438,4470,334,398,79.8,234,316,69.35,76,144,4,7.2,-1.0,46,76,44,8,122,2,30,1148,32,172,556,438,46,1148,74,32,38,646,3964,2098,56,46,12,32,22,770,124,6000000.0,23.822222222222223,0.1679033995774431,0.1679033995774431,0.1679033995774431,1.511130596196988,0.3358067991548862,0.0755565298098494,0.2098792494718038,0.9234686976759372,1.0913720972533802,8.909,6.0606060606060606,42.66666666666667,10.81081081081081,40.869,233.34384848484845,199.26960606060607,10.596101212447492,66.38421356090417,16.716586151929548
Julian Kristoffersen,2022,ITA-Serie A,Salernitana,NOR,FW,25.0,1997.0,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,84.9,0,0,0,0.0,0.0,0,0,0,0,0,1,3,4,0,0,2,2,0,4,0,0,0,1,2,0,0,0,0,1,0,2,2,175000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.975124378109452,8.0,20.0,0.0,0.0,8.0,14.0,30.0,0.0,1.7675445060671628,1.9227565890731184
Julian Ryerson,2020,GER-Bundesliga,Union Berlin,NOR,"DF,MF",22.0,1997.0,24,10,1069,11.9,0,2,2,0,0,0,2,0,0.2,0.2,0.9,1.1,15,32,38,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.1,0.02,0.1,11.9,22,15,4,14,4,12,15,3,13,0,13,11,33,17.0,0,0,6,0,0.51,0.0,0,0,0,417,563,74.1,6692,2154,223,265,84.2,147,194,75.8,32,60,2,0.8,1.1,8,19,5,3,32,12,28,685,25,205,337,148,5,685,19,11,8,322,1565,571,15,9,1,24,13,390,38,2500000.0,11.877777777777778,0.0,0.0,0.1683674901084099,0.5051024703252299,0.0,0.0168367490108409,0.0757653705487844,0.9260211955962548,1.0943886857046647,8.909,29.268292682926827,55.00000000000001,0.0,10.349,262.989487804878,175.8772926829268,0.7572558260987302,75.11754471239865,14.67214412099336
Julian Ryerson,2021,GER-Bundesliga,Union Berlin,NOR,"DF,MF",22.0,1997.0,24,10,1069,11.9,0,2,2,0,0,0,2,0,0.2,0.2,0.9,1.1,15,32,38,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.1,0.02,0.1,11.9,22,15,4,14,4,12,15,3,13,0,13,11,33,17.0,0,0,6,0,0.51,0.0,0,0,0,417,563,74.1,6692,2154,223,265,84.2,147,194,75.8,32,60,2,0.8,1.1,8,19,5,3,32,12,28,685,25,205,337,148,5,685,19,11,8,322,1565,571,15,9,1,24,13,390,38,4000000.0,11.877777777777778,0.0,0.0,0.1683674901084099,0.5051024703252299,0.0,0.0168367490108409,0.0757653705487844,0.9260211955962548,1.0943886857046647,8.909,29.268292682926827,55.00000000000001,0.0,10.349,262.989487804878,175.8772926829268,0.7572558260987302,75.11754471239865,14.67214412099336
Julian Ryerson,2022,GER-Bundesliga,Union Berlin,NOR,DF,24.0,1997.0,60,58,4894,54.4,2,2,4,2,0,0,8,0,2.4,2.4,4.0,6.4,148,174,202,0.12,0.12,0.26,0.12,0.26,0.18,0.28,0.46,0.18,0.46,54.4,110,64,68,34,8,68,124,56,56,10,46,40,150,23.5,0,2,52,16,4.06,1.24,0,0,0,2334,2998,75.9,36434,11286,1282,1418,88.9,810,1028,77.15,172,354,2,6.8,-2.0,42,142,44,34,174,36,40,3578,136,978,1588,1052,48,3578,170,70,74,1876,9926,4896,148,84,20,58,64,2032,202,52000000.0,54.37777777777778,0.0367790539201363,0.0367790539201363,0.0367790539201363,0.9562554019235444,0.2942324313610906,0.0441348647041635,0.0735581078402726,0.7355810784027266,1.0298135097638172,8.909,46.75324675324675,40.93567251461988,3.7735849056603774,55.089,268.009243031822,690.0122467532468,15.180255255497277,76.59631817459645,59.60652460333486
Julian Ryerson,2023,GER-Bundesliga,Dortmund,NOR,DF,25.0,1997.0,21,20,1767,19.6,4,1,5,4,0,0,3,0,1.8,1.8,2.7,4.5,41,64,118,0.2,0.05,0.25,0.2,0.25,0.09,0.14,0.23,0.09,0.23,19.6,41,23,26,11,4,27,47,20,31,7,24,10,51,35.0,3,4,18,8,0.92,0.41,0,0,0,974,1129,86.3,14916,3144,503,549,91.6,399,448,89.1,43,70,1,2.8,-1.7,14,46,7,5,64,8,12,1346,60,430,588,343,32,1346,40,16,18,813,4244,2096,41,41,6,29,26,867,118,20000000.0,19.633333333333333,0.2037247678386499,0.2037247678386499,0.0509311919596624,0.9167614552739248,0.4074495356772999,0.0916761455273924,0.1375142182910887,0.5093119195966249,1.5788669507495374,8.909,38.095238095238095,39.02439024390244,21.052631578947366,37.269,295.3473275261324,296.50423809523807,9.435555885093116,84.64986501698283,25.214701126051764
Julian Weigl,2022,GER-Bundesliga,Gladbach,GER,MF,26.0,1995.0,23,21,1894,21.0,1,0,1,0,1,1,6,0,1.1,0.3,0.6,0.8,7,82,7,0.05,0.0,0.05,0.0,0.0,0.05,0.03,0.08,0.01,0.04,21.0,43,16,21,21,1,23,41,18,23,2,21,18,61,32.0,0,1,7,0,0.33,0.0,0,1,1,1072,1203,89.1,19320,5266,444,476,93.3,513,552,92.9,98,137,0,0.8,-0.6,6,66,5,0,82,18,13,1348,53,374,894,87,12,1347,13,9,1,745,2991,1462,7,11,0,2,2,979,7,10000000.0,21.044444444444444,0.0475162215100655,0.0,0.0,0.3326135505704586,0.0,0.052267843661072,0.0285097329060393,0.8552919871811793,1.0928730947315068,8.909,56.25,64.28571428571429,0.0,13.679000000000002,318.79828571428567,322.359,1.8307602539015284,91.558300401563,27.47435629929257
Julian Weigl,2023,GER-Bundesliga,Gladbach,GER,MF,27.0,1995.0,31,31,2764,30.7,2,3,5,0,2,2,10,0,2.4,0.9,2.1,2.9,14,105,14,0.07,0.1,0.16,0.0,0.1,0.08,0.07,0.15,0.03,0.09,30.7,66,40,28,32,6,41,67,26,47,14,33,48,114,61.0,1,2,17,4,0.55,0.13,1,2,2,1311,1473,89.0,23744,6245,522,568,91.9,629,673,93.5,130,169,3,1.4,0.9,24,105,10,1,105,25,19,1781,95,582,1038,180,11,1779,24,14,6,932,3694,1713,14,16,1,17,9,1102,14,6000000.0,30.711111111111112,0.0651208896960663,0.0,0.0976813345440995,0.5535275624165639,0.1302417793921326,0.0781450676352795,0.0683769341808696,1.562901352705592,1.5303409078575587,8.909,55.55555555555556,56.00000000000001,0.0,26.488999999999997,316.47566666666665,524.5645555555556,5.960367377070847,90.874078312012,45.14672285800325
Julien Duranville,2022,GER-Bundesliga,Dortmund,BEL,MF,16.0,2006.0,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,1,4,0.0,0.0,0.0,0.0,0.0,0.06,0.83,0.89,0.06,0.89,0.3,1,1,0,1,0,1,1,0,0,0,0,0,1,0.0,0,0,1,0,3.1,0.0,0,0,0,11,17,64.7,164,100,5,5,100.0,4,8,50.0,1,1,0,0.5,-0.3,2,0,3,3,1,0,0,20,0,2,3,15,0,20,3,3,0,16,231,76,4,0,0,1,0,17,4,8500000.0,0.3222222222222222,0.0,0.0,0.0,3.0938466827088345,0.0,0.0,0.9281540048126504,0.0,0.0,8.909,0.0,75.0,0.0,9.109,233.00900000000001,12.909,0.3575124355655563,66.2855702942777,0.42903691344363365
Julien Duranville,2023,GER-Bundesliga,Dortmund,BEL,"FW,MF",17.0,2006.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,4,0.0,0,0,0,0,86.3,0,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,14,0,1,6,7,1,14,5,3,2,12,57,26,2,1,1,3,4,13,1,8500000.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.909,50.0,50.0,0.0,8.909,43.909,62.909,0.2930376951569801,10.578459278060958,4.798938252246176
Julien Faussurier,2020,FRA-Ligue 1,Brest,FRA,DF,33.0,1987.0,17,9,955,10.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,28,56,63,0.0,0.28,0.28,0.0,0.28,0.04,0.21,0.24,0.04,0.24,10.6,16,11,6,8,2,11,25,14,12,4,8,9,25,10.0,0,0,5,2,0.47,0.19,0,0,0,455,608,74.8,9117,3906,178,201,88.6,189,235,80.4,80,134,3,2.6,0.8,22,35,33,22,56,8,8,688,30,196,291,205,16,688,9,5,4,364,1606,922,28,8,5,14,3,389,63,400000.0,10.61111111111111,0.0,0.0,0.282695871593253,0.471159785988755,0.188463914395502,0.0376927828791004,0.2073103058350522,0.848087614779759,1.130783486373012,8.498,47.05882352941176,50.0,0.0,13.578,268.5156470588235,162.55682352941176,1.7982005099951963,76.74550011722592,13.507961401244895
