player,season,age,born,Minutes de jeu,# 90 min jouées,G,A,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,% dribble  réussis,% passes réussies,% passes courtes réussies,% passes moyennes réussies,% passes longues réussies,% duels aériens gagnés,xG / Tir,Valeur marchande (euros),Chevauchée avant  >5m,Passes avant >10m,Passes > 10m vers l'avant reçues,Tacles réussis qui gagnent la balle,Dribbles subis perdus,Blocs totaux,Interceptions,Tacles réussis + interceptions,Dégagements,Erreurs menant à un tir adverse,Tirs,Tirs cadrés,Distance totale des passes > 10m avant effectuées,Passes menant à un but,Touches ballon en jeu,Passes reçues,team,league,nation,pos
Abdoul Koné,2023.0,18.0,2005.0,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.6666666666666666,0.624,0.792,0.619,0.4705882352941176,0.0,,500000.0,1.4285714285714286,2.380952380952381,0.4761904761904761,3.333333333333333,3.333333333333333,0.9523809523809524,0.9523809523809524,4.285714285714286,4.285714285714286,0.0,0.0,0.0,190.9523809523809,0.9523809523809524,54.76190476190476,24.76190476190476,Reims,FRA-Ligue 1,FRA,DF
Abdoulay Diaby,2020.0,29.0,1991.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,1.31,0.34,1.65,1.31,1.65,0.0,0.5,0.833,0.0,0.0,0.0,0.3,2000000.0,10.0,0.0,20.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.0,0.0,35.0,5.0,85.0,55.0,Getafe,ESP-La Liga,MLI,DF
Abdoulaye Bamba,2022.0,32.0,1990.0,1364.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.4444444444444444,0.8590000000000001,0.932,0.8859999999999999,0.654320987654321,0.5483870967741935,,400000.0,0.5263157894736842,2.368421052631579,1.25,1.4473684210526316,0.1973684210526315,0.4605263157894737,1.1842105263157896,2.631578947368421,2.5,0.0,0.0,0.0,260.13157894736844,0.2631578947368421,54.73684210526316,35.5921052631579,Angers,FRA-Ligue 1,CIV,DF
Abdoulaye Doucouré,2020.0,27.0,1993.0,2443.0,27.1,0.07,0.11,0.18,0.07,0.18,0.09,0.07,0.16,0.09,0.16,0.6363636363636364,0.843,0.875,0.9,0.7831325301204819,0.6666666666666666,0.1277777777777777,25000000.0,1.2546125461254611,3.837638376383764,2.5830258302583022,1.918819188191882,1.070110701107011,0.8856088560885609,1.4391143911439113,3.357933579335793,1.1439114391143912,0.03690036900369,0.6642066420664207,0.1845018450184501,145.8671586715867,0.7749077490774907,58.96678966789668,38.37638376383764,Everton,ENG-Premier League,MLI,MF
Abdoulaye Doucouré,2021.0,27.0,1993.0,2443.0,27.1,0.07,0.11,0.18,0.07,0.18,0.09,0.07,0.16,0.09,0.16,0.6363636363636364,0.843,0.875,0.9,0.7831325301204819,0.6666666666666666,0.1277777777777777,22000000.0,1.2546125461254611,3.837638376383764,2.5830258302583022,1.918819188191882,1.070110701107011,0.8856088560885609,1.4391143911439113,3.357933579335793,1.1439114391143912,0.03690036900369,0.6642066420664207,0.1845018450184501,145.8671586715867,0.7749077490774907,58.96678966789668,38.37638376383764,Everton,ENG-Premier League,MLI,MF
Abdoulaye Doucouré,2022.0,29.0,1993.0,1533.0,17.0,0.29,0.12,0.41,0.29,0.41,0.14,0.13,0.27,0.14,0.27,0.6060606060606061,0.785,0.826,0.8240000000000001,0.5384615384615384,0.3023255813953488,0.12,12000000.0,1.3529411764705883,2.235294117647059,3.882352941176471,1.8235294117647056,1.4705882352941178,1.5294117647058822,0.7647058823529411,2.588235294117647,0.6470588235294118,0.0,1.1764705882352942,0.4705882352941176,78.41176470588235,1.2941176470588236,41.94117647058823,25.88235294117647,Everton,ENG-Premier League,MLI,MF
Abdoulaye Sylla,2020.0,20.0,2000.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,0.5,0.0,,,200000.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,Nantes,FRA-Ligue 1,GUI,DF
Abdoulaye Sylla,2021.0,20.0,2000.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,0.5,0.0,,,250000.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,Nantes,FRA-Ligue 1,GUI,DF
Abdoulaye Touré,2020.0,26.0,1994.0,1681.0,18.7,0.11,0.11,0.21,0.05,0.16,0.14,0.08,0.22,0.1,0.17,0.7,0.845,0.856,0.8859999999999999,0.7228915662650602,0.6,0.1,4000000.0,1.1764705882352942,5.401069518716578,1.2299465240641712,1.497326203208556,0.9090909090909092,0.9090909090909092,1.1764705882352942,2.6737967914438503,1.0160427807486632,0.0,1.390374331550802,0.213903743315508,185.93582887700532,0.7486631016042781,60.6951871657754,42.83422459893048,Nantes,FRA-Ligue 1,GUI,MF
Abdoulaye Touré,2023.0,29.0,1994.0,2284.0,25.4,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09,0.6904761904761905,0.833,0.855,0.87,0.7540983606557377,0.5121951219512195,0.0967741935483871,3000000.0,0.8661417322834646,5.826771653543307,0.984251968503937,1.8503937007874016,1.1811023622047243,1.1811023622047243,0.984251968503937,2.834645669291339,1.299212598425197,0.0,1.220472440944882,0.3149606299212598,204.52755905511813,0.4724409448818898,59.13385826771654,39.60629921259843,Le Havre,FRA-Ligue 1,GUI,MF
